ID,CONTENTID,素材名称,真实下载量,外显下载量,真实分享量,外显下载量,创建时间,更新时间
2767060,1536951,六年级下册期中知识点iZQo.docx,3293,24568,437,3275,2024-04-1119:33:21,2024-06-1319:03:03
81620,646935,六年级语文周周练（4）.docx,3157,137560,213,1793,2024-01-3017:58:52,2024-05-1613:45:32
773045,787244,高中历史答题模版.pdf,3141,23577,62,457,2024-02-0514:28:00,2024-06-1010:21:40
642813,782307,初中物理公式总结大全.doc,3121,23659,474,3973,2024-02-0212:33:17,2024-06-1218:36:02
2699760,1527153,四年级下册期中数学试卷.doc,3117,23356,526,3962,2024-04-0906:19:17,2024-06-1319:47:26
81399,646590,一年级语文周周练（5）.docx,3077,113468,317,2574,2024-01-3017:58:49,2024-05-2018:17:52
643201,782253,九年级知识点汇总（2）aJSp.pdf,3075,23060,409,3123,2024-02-0213:03:54,2024-05-3121:22:09
193278,668623,英语作文万能写作模板.pdf,3010,122659,411,3288,2024-01-3111:29:06,2024-06-1306:00:54
644044,782240,九年级知识点汇总（1）0O6V.pdf,2922,21887,387,2855,2024-02-0213:35:55,2024-06-1022:41:55
772694,787246,高中生物答题模板.pdf,2872,21683,44,327,2024-02-0514:10:34,2024-06-0913:31:42
697307,785769,【物理】初中考点大全.pdf,2773,20764,155,1172,2024-02-0316:08:05,2024-06-1218:35:28
809666,780091,初中物理资料汇总.pdf,2766,20756,245,1800,2024-02-0616:01:11,2024-06-1212:29:17
772699,787245,高中化学答题模版.pdf,2754,20614,40,298,2024-02-0514:10:45,2024-06-1220:18:09
196938,700846,天才在左疯子在右完整版.pdf,2655,47061,21,351,2024-01-3111:29:26,2024-06-1308:47:29
2684100,777147,初中物理秒杀口诀.docx,2632,19790,233,1779,2024-04-0816:42:59,2024-06-1309:46:23
2087870,1281320,（超详）初中物理考点清单.pdf,2558,19070,236,1789,2024-03-1922:12:28,2024-06-1316:08:08
697397,785768,（超详）初中历史考点清单.pdf,2555,19136,263,1964,2024-02-0316:10:48,2024-06-1218:35:36
196348,697167,高一数学期中知识点汇总.docx,2543,85597,107,999,2024-01-3111:29:23,2024-05-1622:00:02
90777,761247,初一数学公式定理汇总.doc,2520,21808,310,2480,2024-01-3018:00:01,2024-06-1315:10:49
642874,782263,初一数学公式定理汇总MZ3G.doc,2466,18590,331,2476,2024-02-0212:46:32,2024-06-1313:11:30
89118,744984,七年级上册古诗文默写-备战2024年中考语文古诗文默写背诵复习（全国通用）解析版.pdf,2366,21321,204,1692,2024-01-3017:59:58,2024-06-1320:14:58
693734,772792,初一历史下学期期中知识点汇总.docx,2355,17695,163,1186,2024-02-0314:15:28,2024-06-1310:41:57
684306,772813,初一生物下学期期中知识点汇总.docx,2353,17545,188,1430,2024-02-0311:17:53,2024-06-1318:34:46
87246,691454,三角函数-知识点大全.pdf,2350,56498,272,2177,2024-01-3017:59:31,2024-06-1303:15:21
2687708,1527154,六年级下册期中数学试卷.doc,2335,17683,432,3267,2024-04-0820:01:27,2024-06-1319:30:00
84905,672241,初三历史思维导图.docx,2334,25872,111,1042,2024-01-3017:59:18,2024-06-1311:23:17
643868,778999,七年级下册数学知识点汇总Mjnx.docx,2322,17442,338,2547,2024-02-0213:28:10,2024-06-1312:15:53
836599,927100,初中英语作文范文大全.pdf,2319,17415,234,1737,2024-02-0713:34:57,2024-06-1305:47:51
648531,772790,初一英语下学期期中知识点汇总WmJn.docx,2316,17358,271,2057,2024-02-0216:45:11,2024-06-1315:53:23
193277,668622,中考英语20套经典写作模板.pdf,2315,88719,278,2217,2024-01-3111:29:06,2024-06-1305:58:33
2690111,774509,鸡兔同笼、牛吃草应用题GaMC.pdf,2299,17279,286,2118,2024-04-0820:51:42,2024-06-1320:15:45
643588,782779,语文预习方法.docx,2267,16949,375,2852,2024-02-0213:17:15,2024-06-1314:32:05
2700127,1527148,一年级（下）期中语文测试卷.doc,2243,16868,394,2964,2024-04-0906:51:28,2024-06-1320:15:56
201283,780752,12.28初中地理思维导图（无水印）.docx,2226,16836,319,2638,2024-01-3111:29:43,2024-06-1316:42:47
645658,782225,八年级知识点汇总（2）zpm6.pdf,2223,16644,276,2055,2024-02-0214:48:25,2024-05-2516:44:23
201284,780765,初中物理实验！全部都在这里（可打印）.pdf,2207,16690,234,1973,2024-01-3111:29:43,2024-06-1218:36:12
4214042,1636135,物理易错题汇总6tZn.doc,2190,16386,171,1261,2024-06-0420:05:17,2024-06-1319:23:25
2691421,774506,简单应用题u8j2.pdf,2187,16440,290,2142,2024-04-0821:16:08,2024-06-1320:14:58
83955,662547,初中英语易混词汇辨析.pdf,2178,63103,102,962,2024-01-3017:59:02,2024-06-1317:41:48
84887,672223,初一数学思维导图.doc,2177,26338,79,919,2024-01-3017:59:18,2024-06-1311:17:25
646416,782217,八年级知识点汇总（1）G4Wv.pdf,2168,16251,301,2324,2024-02-0215:16:43,2024-05-2520:45:46
532177,783113,初中生物知识点全面总结.pdf,2154,16403,270,2162,2024-02-0111:12:48,2024-06-1218:35:47
2688241,1527161,六年级（下）期中语文测试卷.doc,2152,16087,336,2480,2024-04-0820:14:39,2024-06-1320:13:16
89121,744987,九年级下册古诗文默写-备战2024年中考语文古诗文默写背诵复习（全国通用）解析版.pdf,2131,19884,174,1493,2024-01-3017:59:58,2024-06-1320:14:24
87217,691421,高中语文易错知识清单.pdf,2129,41194,174,1521,2024-01-3017:59:31,2024-06-1106:56:58
647192,775789,五六年级小升初小学语法66页X762.pdf,2111,15833,185,1349,2024-02-0215:53:07,2024-06-1320:16:40
2397273,1280970,语--珍藏笔记173页.pdf,2098,15766,132,1007,2024-03-3013:41:10,2024-06-1317:58:45
3640794,1567334,语文三年级必背课文xQ8c.docx,2094,15486,184,1390,2024-05-0910:03:52,2024-06-1319:54:32
196385,697211,高二数学期中知识点汇总.docx,2079,59476,114,1055,2024-01-3111:29:23,2024-06-0914:46:35
2680268,774505,利息、纳税、盈亏应用题mPvw.pdf,2075,15567,254,1909,2024-04-0815:40:20,2024-06-1320:11:02
2372090,1281314,初中历史专题知识汇编.pdf,2057,15369,144,1101,2024-03-2919:32:56,2024-06-1316:08:01
89110,744976,生物易错题汇总.doc,2056,15893,162,1382,2024-01-3017:59:58,2024-06-1319:46:09
3403314,1578525,3年级下册数学知识点+答案pKdf.docx,2051,15272,348,2644,2024-04-3016:54:18,2024-06-1320:02:23
91027,780724,初中数学答题模板.pdf,2048,15595,202,1729,2024-01-3018:00:01,2024-06-1218:36:26
2735921,1534501,二年级下册期中知识点GtKI.docx,2045,15310,398,2902,2024-04-1015:44:15,2024-06-1320:14:22
3289960,1564027,小学数学思维训练100题JmaH.docx,2033,15307,195,1455,2024-04-2621:17:12,2024-06-1122:54:52
4278561,1642438,2024年中考物理模拟试卷.docx,2013,15066,151,1132,2024-06-0712:08:10,2024-06-1315:51:12
2694095,1527150,五年级（下）期中语文测试卷.doc,2011,15103,313,2343,2024-04-0822:00:06,2024-06-1318:49:08
643839,772800,初一语文下学期期中知识汇总EgSD.docx,2006,14999,239,1784,2024-02-0213:26:52,2024-06-1316:50:24
651606,772846,高中数学知识点汇总.docx,1988,14764,157,1155,2024-02-0218:24:01,2024-06-1320:10:34
197407,706241,中考语文状元笔记（198页）.pdf,1931,34147,70,688,2024-01-3111:29:29,2024-06-1313:30:59
759657,780079,初中生物讲义(全套).pdf,1900,14247,221,1690,2024-02-0501:21:01,2024-06-1211:36:14
89116,744982,01考场作文备考攻略-初中语文写作能力培养及作文系统升级解读.pdf,1899,15186,55,757,2024-01-3017:59:58,2024-06-1320:15:45
648585,772787,初二英语下学期期中知识点汇总.docx,1898,14268,146,1087,2024-02-0216:46:38,2024-06-1206:08:55
684317,772797,初一政治下学期期中知识点汇总HjJ8.docx,1888,14272,199,1487,2024-02-0311:18:05,2024-06-1310:41:41
4127347,1636223,【语文】语文文言文138个词义GGFx.pdf,1876,13975,182,1376,2024-05-3119:46:48,2024-06-1313:42:02
89119,744985,九年级上册古诗文默写-备战2024年中考语文古诗文默写背诵复习（全国通用）解析版.pdf,1869,16890,130,1090,2024-01-3017:59:58,2024-06-1320:14:49
2330368,1280966,数--珍藏笔记199页.pdf,1839,13699,91,681,2024-03-2806:16:28,2024-06-1316:03:48
644599,772798,中考语文知识归纳总结.docx,1838,13711,161,1220,2024-02-0214:00:48,2024-06-1320:04:22
646667,782281,九年级知识点汇总（2）z91k.pdf,1832,13686,182,1361,2024-02-0215:27:12,2024-06-1312:05:38
91015,775983,人教版初中英语单词全册.pdf,1832,14375,172,1485,2024-01-3018:00:01,2024-06-1212:29:44
89120,744986,八年级上册古诗文默写-备战2024年中考语文古诗文默写背诵复习（全国通用）解析版.pdf,1822,16477,160,1438,2024-01-3017:59:58,2024-06-1320:14:30
